Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Molecular Weight	Chromosome	PFam ID	Protein Length	Ortholog count	Paralog count	PFam Description	CDD ID	Gene3D ID	Hamap ID	NCBIfam ID	PANTHER ID	PRINTS ID	SFLD ID	CDD Description	Gene3D Description	Hamap Description	NCBIfam Description	PANTHER Description	PRINTS Description	SFLD Description	PirSF ID	PirSF Description	Prositefamilies ID	Prositefamilies Description	Smart ID	Smart Description	Superfamily ID	Superfamily Description	InterPro ID	InterPro Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
B9J08_005054	B9J08_005054-t37_1	Candida auris strain B8441	PEKT02000010:344,388..346,121(+)	Cytochrome b5-like Heme/Steroid binding domain | Fatty acid desaturase | domain-containing protein	66047	Not Assigned	PF00173, PF00487	577	605	0	Fatty acid desaturase	cd03506	G3DSA:3.10.120.10	N/A	N/A	PTHR19353	N/A	N/A	Delta6-FADS-like	-	N/A	N/A	FATTY ACID DESATURASE 2	N/A	N/A	PIRSF015921	FA_sphingolip_des	PS50255	Cytochrome b5 family, heme-binding domain profile.	SM01117	Cyt_b5_2	SSF55856	Cytochrome b5-like heme/steroid binding domain	-, IPR001199, IPR005804, IPR012171, IPR036400	FATTY ACID DESATURASE 2	GO:0016020	membrane	GO:0020037;GO:0020037;GO:0016491;GO:0016717	heme binding;heme binding;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	GO:0006629;GO:0006629;GO:0006629;GO:0006665	lipid metabolic process;lipid metabolic process;lipid metabolic process;sphingolipid metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	1.14.19.18 (sphingolipid 8-(E)-desaturase)	N/A
B9J08_005055	B9J08_005055-t37_1	Candida auris strain B8441	PEKT02000010:346,170..346,862(-)	FMR1-interacting protein 1 (NUFIP1) | Zinc finger C-x8-C-x5-C-x3-H type (and similar) | domain-containing protein	26165	Not Assigned	PF00642, PF10453	230	375	0	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	N/A	G3DSA:4.10.1000.10	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50103	Zinc finger C3H1-type profile.	N/A	N/A	SSF90229	CCCH zinc finger	-, IPR000571, IPR019496, IPR036855	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	GO:0005654;GO:0005654	nucleoplasm;nucleoplasm	GO:0046872;GO:0003676;GO:0003676;GO:0008270;GO:0008270	metal ion binding;nucleic acid binding;nucleic acid binding;zinc ion binding;zinc ion binding	GO:0000492;GO:0000492;GO:0000027;GO:0000027	box C/D snoRNP assembly;box C/D snoRNP assembly;ribosomal large subunit assembly;ribosomal large subunit assembly	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005056	B9J08_005056-t37_1	Candida auris strain B8441	PEKT02000010:348,345..348,634(+)	Cysteine-rich TM module stress tolerance | domain-containing protein	8053	Not Assigned	PF12734	77	0	0	Cysteine-rich TM module stress tolerance	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR028144	Cysteine-rich TM module stress tolerance	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005057	B9J08_005057-t37_1	Candida auris strain B8441	PEKT02000010:348,772..350,148(-)	serine-tRNA ligase, cytoplasmic	52282	Not Assigned	PF00587, PF02403	458	1371	1	tRNA synthetase class II core domain (G, H, P, S and T)	cd00770	G3DSA:1.10.287.40, G3DSA:3.30.930.10	N/A	TIGR00414	PTHR11778	PR00981	N/A	SerRS_core	Bira Bifunctional Protein; Domain 2	N/A	serine--tRNA ligase	SERYL-TRNA SYNTHETASE	Seryl-tRNA synthetase signature	N/A	PIRSF001529	Ser-tRNA_ligase	PS50862	Aminoacyl-transfer RNA synthetases class-II family profile.	N/A	N/A	SSF46589, SSF55681	tRNA-binding arm	-, IPR002314, IPR002317, IPR006195, IPR010978, IPR015866, IPR033729, IPR042103, IPR045864	tRNA synthetase class II core domain (G, H, P, S and T)	GO:0010494;GO:0010494;GO:0010494	cytoplasmic stress granule;cytoplasmic stress granule;cytoplasmic stress granule	GO:0004812;GO:0005524;GO:0005524;GO:0005524;GO:0000166;GO:0004828;GO:0004828;GO:0004828	aminoacyl-tRNA ligase activity;ATP binding;ATP binding;ATP binding;nucleotide binding;serine-tRNA ligase activity;serine-tRNA ligase activity;serine-tRNA ligase activity	GO:0097056;GO:0006434;GO:0006434;GO:0006434;GO:0006418	obsolete selenocysteinyl-tRNA(Sec) biosynthetic process;seryl-tRNA aminoacylation;seryl-tRNA aminoacylation;seryl-tRNA aminoacylation;tRNA aminoacylation for protein translation	N/A	N/A	N/A	N/A	N/A	N/A	6.1.1.11 (serine--tRNA ligase)	N/A
B9J08_005058	B9J08_005058-t37_1	Candida auris strain B8441	PEKT02000010:350,891..352,210(+)	WD domain, G-beta repeat | domain-containing protein	48906	Not Assigned	PF00400	439	386	0	WD domain, G-beta repeat	N/A	G3DSA:2.130.10.10	N/A	N/A	PTHR46202	PR00320	N/A	N/A	-	N/A	N/A	DNA EXCISION REPAIR PROTEIN ERCC-8	G protein beta WD-40 repeat signature	N/A	N/A	N/A	PS50082, PS50294	Trp-Asp (WD) repeats profile.	SM00320	WD40_4	SSF50978	WD40 repeat-like	-, IPR001680, IPR015943, IPR020472, IPR036322, IPR042238	WD domain, G-beta repeat	GO:0031464;GO:0070912;GO:0070912;GO:0000109	Cul4A-RING E3 ubiquitin ligase complex;Ddb1-Ckn1 complex;Ddb1-Ckn1 complex;nucleotide-excision repair complex	GO:0005515	protein binding	GO:0006281;GO:0006281;GO:0043161;GO:0000209;GO:0006283;GO:0006283;GO:0006283	DNA repair;DNA repair;proteasome-mediated ubiquitin-dependent protein catabolic process;protein polyubiquitination;transcription-coupled nucleotide-excision repair;transcription-coupled nucleotide-excision repair;transcription-coupled nucleotide-excision repair	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.3.1.48 (histone acetyltransferase)
B9J08_005059	B9J08_005059-t37_1	Candida auris strain B8441	PEKT02000010:352,631..357,820(+)	Cdc14 phosphatase binding protein N-terminus | domain-containing protein	188796	Not Assigned	PF10407	1729	38	0	Cdc14 phosphatase binding protein N-terminus	N/A	N/A	N/A	N/A	PTHR28196	N/A	N/A	N/A	N/A	N/A	N/A	NUCLEOLAR PROTEIN NET1-RELATED	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR018844, IPR043185	NUCLEOLAR PROTEIN NET1-RELATED	N/A	N/A	N/A	N/A	GO:0000183	rDNA heterochromatin formation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005060	B9J08_005060-t37_1	Candida auris strain B8441	PEKT02000010:357,872..359,191(-)	hypothetical protein	50426	Not Assigned	N/A	439	21	0	N/A	N/A	G3DSA:1.10.1520.10	N/A	N/A	N/A	N/A	N/A	N/A	Ribonuclease III domain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50142	Ribonuclease III family domain profile.	N/A	N/A	SSF69065	RNase III domain-like	IPR000999, IPR036389	RNase III domain-like	N/A	N/A	GO:0004525;GO:0004525;GO:0004525;GO:0003723;GO:0003723	ribonuclease III activity;ribonuclease III activity;ribonuclease III activity;RNA binding;RNA binding	GO:0006396;GO:0006396;GO:0006396	RNA processing;RNA processing;RNA processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005061	B9J08_005061-t37_1	Candida auris strain B8441	PEKT02000010:359,634..360,719(-)	FAD dependent oxidoreductase | domain-containing protein	40105	Not Assigned	PF01266	361	1288	3	FAD dependent oxidoreductase	N/A	G3DSA:3.30.9.10, G3DSA:3.40.50.720	N/A	N/A	PTHR11530	N/A	N/A	N/A	-	N/A	N/A	D-AMINO ACID OXIDASE	N/A	N/A	PIRSF000189	D-aa_oxidase	N/A	N/A	N/A	N/A	SSF51971, SSF54373	Nucleotide-binding domain	-, IPR006076, IPR023209	Nucleotide-binding domain	GO:0005737	cytoplasm	GO:0003884;GO:0071949;GO:0016491;GO:0016491	D-amino-acid oxidase activity;FAD binding;oxidoreductase activity;oxidoreductase activity	GO:0019478;GO:0046416	D-amino acid catabolic process;D-amino acid metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.4.3.3 (D-amino-acid oxidase)
B9J08_005062	B9J08_005062-t37_1	Candida auris strain B8441	PEKT02000010:360,859..362,571(-)	amidase	63302	Not Assigned	PF01425	570	3375	3	Amidase	N/A	G3DSA:3.90.1300.10	N/A	N/A	PTHR46072	N/A	N/A	N/A	Amidase signature (AS) domain	N/A	N/A	AMIDASE-RELATED-RELATED	N/A	N/A	PIRSF001221	Amidase_fungi	N/A	N/A	N/A	N/A	SSF75304	Amidase signature (AS) enzymes	-, IPR023631, IPR036928	Amidase signature (AS) enzymes	N/A	N/A	GO:0004040;GO:0016884;GO:0016884;GO:0043864	amidase activity;carbon-nitrogen ligase activity, with glutamine as amido-N-donor;carbon-nitrogen ligase activity, with glutamine as amido-N-donor;indoleacetamide hydrolase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.5.1.4 (amidase);6.3.5.7 (glutaminyl-tRNA synthase (glutamine-hydrolyzing))	N/A
B9J08_005063	B9J08_005063-t37_1	Candida auris strain B8441	PEKT02000010:364,593..364,955(-)	hypothetical protein	13771	Not Assigned	N/A	120	8	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005064	B9J08_005064-t37_1	Candida auris strain B8441	PEKT02000010:368,259..370,502(+)	FAD-binding domain | Ferric reductase NAD binding domain | Ferric reductase like transmembrane component | domain-containing protein	85498	Not Assigned	PF01794, PF08022, PF08030	747	261	7	Ferric reductase NAD binding domain	cd06186	G3DSA:3.40.50.80	N/A	N/A	PTHR32361	N/A	SFLDG01168, SFLDS00052	NOX_Duox_like_FAD_NADP	-	N/A	N/A	FERRIC/CUPRIC REDUCTASE TRANSMEMBRANE COMPONENT	N/A	Ferric reductase subgroup (FRE)	N/A	N/A	N/A	N/A	N/A	N/A	SSF52343	Ferredoxin reductase-like, C-terminal NADP-linked domain	-, IPR013112, IPR013121, IPR013130, IPR039261, IPR051410	NOX_Duox_like_FAD_NADP	GO:0005886	plasma membrane	GO:0000293;GO:0016491;GO:0016491;GO:0016491	ferric-chelate reductase activity;oxidoreductase activity;oxidoreductase activity;oxidoreductase activity	GO:0015677;GO:0006879;GO:0006826;GO:0006811	copper ion import;intracellular iron ion homeostasis;iron ion transport;monoatomic ion transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005065	B9J08_005065-t37_1	Candida auris strain B8441	PEKT02000010:371,194..372,168(+)	HhH-GPD superfamily base excision DNA repair protein | domain-containing protein	36572	Not Assigned	PF00730	324	451	0	HhH-GPD superfamily base excision DNA repair protein	cd00056	G3DSA:1.10.1670.40, G3DSA:1.10.340.30	N/A	N/A	PTHR43003	N/A	N/A	ENDO3c	Hypothetical protein; domain 2	N/A	N/A	DNA-3-METHYLADENINE GLYCOSYLASE	N/A	N/A	N/A	N/A	N/A	N/A	SM00478	endo3end	SSF48150	DNA-glycosylase	-, IPR003265, IPR011257, IPR051912	Hypothetical protein; domain 2	GO:0005737;GO:0005737;GO:0005634;GO:0005634;GO:0005634;GO:0032993	cytoplasm;cytoplasm;nucleus;nucleus;nucleus;protein-DNA complex	GO:0032131;GO:0003905;GO:0003905;GO:0003905;GO:0003824;GO:0003684;GO:0003684;GO:0008725;GO:0008725;GO:0008725;GO:0008725;GO:0052822;GO:0052821;GO:0043916;GO:0043916	alkylated DNA binding;alkylbase DNA N-glycosylase activity;alkylbase DNA N-glycosylase activity;alkylbase DNA N-glycosylase activity;catalytic activity;damaged DNA binding;damaged DNA binding;DNA-3-methyladenine glycosylase activity;DNA-3-methyladenine glycosylase activity;DNA-3-methyladenine glycos	GO:0006284;GO:0006285;GO:0006285;GO:0006285;GO:0006307;GO:0006307;GO:0006307;GO:0006974;GO:0006974;GO:0006281	base-excision repair;base-excision repair, AP site formation;base-excision repair, AP site formation;base-excision repair, AP site formation;DNA alkylation repair;DNA alkylation repair;DNA alkylation repair;DNA damage response;DNA damage response;DNA repair	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.2.2.21 (DNA-3-methyladenine glycosylase II)
B9J08_005066	B9J08_005066-t37_1	Candida auris strain B8441	PEKT02000010:374,703..378,569(+)	hypothetical protein	141140	Not Assigned	N/A	1288	307	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005067	B9J08_005067-t37_1	Candida auris strain B8441	PEKT02000010:378,632..379,081(-)	hydroxyisourate hydrolase	16647	Not Assigned	PF00576	149	368	0	HIUase/Transthyretin family	cd05822	G3DSA:2.60.40.180	N/A	TIGR02962	PTHR10395	N/A	N/A	TLP_HIUase	Transthyretin/hydroxyisourate hydrolase domain	N/A	hydroxyisourate hydrolase	URICASE AND TRANSTHYRETIN-RELATED	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF49472	Transthyretin (synonym: prealbumin)	IPR014306, IPR023416, IPR036817	URICASE AND TRANSTHYRETIN-RELATED	N/A	N/A	GO:0033971;GO:0033971;GO:0033971	hydroxyisourate hydrolase activity;hydroxyisourate hydrolase activity;hydroxyisourate hydrolase activity	GO:0006145;GO:0006145;GO:0006144;GO:0006810;GO:0006810	purine nucleobase catabolic process;purine nucleobase catabolic process;purine nucleobase metabolic process;transport;transport	N/A	N/A	N/A	N/A	N/A	N/A	3.5.2.17 (hydroxyisourate hydrolase)	N/A
B9J08_005068	B9J08_005068-t37_1	Candida auris strain B8441	PEKT02000010:379,215..380,135(-)	Telomere regulation protein Stn1 | domain-containing protein	34679	Not Assigned	PF10451	306	24	0	Telomere regulation protein Stn1	N/A	G3DSA:2.40.50.1040	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-, IPR018856	Telomere regulation protein Stn1	GO:1990879;GO:1990879	CST complex;CST complex	GO:0043047;GO:0043047;GO:0061770;GO:0061770	single-stranded telomeric DNA binding;single-stranded telomeric DNA binding;translation elongation factor binding;translation elongation factor binding	GO:0032211;GO:0032211;GO:0016233;GO:0016233	negative regulation of telomere maintenance via telomerase;negative regulation of telomere maintenance via telomerase;telomere capping;telomere capping	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005069	B9J08_005069-t37_1	Candida auris strain B8441	PEKT02000010:380,639..381,910(+)	Hypothetical methyltransferase | domain-containing protein	48370	Not Assigned	PF05148	423	660	0	Hypothetical methyltransferase	cd02440	G3DSA:1.10.10.2150, G3DSA:3.40.50.150	N/A	N/A	PTHR12787	N/A	N/A	AdoMet_MTases	Vaccinia Virus protein VP39	N/A	N/A	RIBOSOMAL RNA-PROCESSING PROTEIN 8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	-, IPR007823, IPR029063, IPR042036	Vaccinia Virus protein VP39	GO:0030686;GO:0030686;GO:0005730;GO:0005730;GO:0005730	90S preribosome;90S preribosome;nucleolus;nucleolus;nucleolus	GO:0008168;GO:0016433;GO:0016433;GO:0016433;GO:0106142;GO:0106142	methyltransferase activity;rRNA (adenine) methyltransferase activity;rRNA (adenine) methyltransferase activity;rRNA (adenine) methyltransferase activity;rRNA (adenine-N1-)-methyltransferase activity;rRNA (adenine-N1-)-methyltransferase activity	GO:0032259;GO:0042273;GO:0042273;GO:0042273;GO:0031167;GO:0031167;GO:0031167;GO:0006364;GO:0006364;GO:0006364	methylation;ribosomal large subunit biogenesis;ribosomal large subunit biogenesis;ribosomal large subunit biogenesis;rRNA methylation;rRNA methylation;rRNA methylation;rRNA processing;rRNA processing;rRNA processing	N/A	N/A	N/A	N/A	N/A	N/A	2.1.1.- (Methyltransferases.)	N/A
B9J08_005070	B9J08_005070-t37_1	Candida auris strain B8441	PEKT02000010:382,479..384,338(+)	WD domain, G-beta repeat | domain-containing protein	68235	Not Assigned	PF00400	619	69	0	WD domain, G-beta repeat	N/A	G3DSA:2.130.10.10	N/A	N/A	PTHR14205	N/A	N/A	N/A	-	N/A	N/A	WD-REPEAT PROTEIN	N/A	N/A	N/A	N/A	PS50082	Trp-Asp (WD) repeats profile.	SM00320	WD40_4	SSF50978	WD40 repeat-like	IPR001680, IPR015943, IPR036322, IPR040323	WD-REPEAT PROTEIN	N/A	N/A	GO:0031683;GO:0031683;GO:0031435;GO:0031435;GO:0005515	G-protein beta/gamma-subunit complex binding;G-protein beta/gamma-subunit complex binding;mitogen-activated protein kinase kinase kinase binding;mitogen-activated protein kinase kinase kinase binding;protein binding	GO:0001403;GO:0001403;GO:0016567;GO:0010969;GO:0010969;GO:0000920;GO:0000920	invasive growth in response to glucose limitation;invasive growth in response to glucose limitation;protein ubiquitination;regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion;regulation of pheromone-dependent signal transduction involved in conjugation 	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005071	B9J08_005071-t37_1	Candida auris strain B8441	PEKT02000010:385,524..387,866(+)	E3 ubiquitin-protein ligase RSP5	88642	Not Assigned	PF00168, PF00397, PF00632	780	5189	3	WW domain	cd00078, cd00201, cd08382	G3DSA:2.20.70.10, G3DSA:2.60.40.150, G3DSA:3.30.2160.10, G3DSA:3.30.2410.10, G3DSA:3.90.1750.10	N/A	N/A	PTHR11254	N/A	N/A	WW	Hect, E3 ligase catalytic domains	N/A	N/A	HECT DOMAIN UBIQUITIN-PROTEIN LIGASE	N/A	N/A	PIRSF001569	E3_ub_ligase_SMURF1	PS50004, PS50020, PS50237	WW/rsp5/WWP domain profile.	SM00119, SM00239, SM00456	ww_5	SSF49562, SSF51045, SSF56204	WW domain	-, IPR000008, IPR000569, IPR001202, IPR024928, IPR035892, IPR035983, IPR036020, IPR050409	WW/rsp5/WWP domain profile.	GO:0071944;GO:0071944;GO:0005934;GO:0005934;GO:0005737;GO:0005737;GO:0005737;GO:0010008;GO:0010008;GO:0031234;GO:0031234;GO:0005794;GO:0005794;GO:0005634;GO:0005634;GO:0000151;GO:0000151	cell periphery;cell periphery;cellular bud tip;cellular bud tip;cytoplasm;cytoplasm;cytoplasm;endosome membrane;endosome membrane;extrinsic component of cytoplasmic side of plasma membrane;extrinsic component of cytoplasmic side of plasma membrane;Golgi apparatus;Golgi apparatus;nucleus;nucleus;ubiq	GO:0035091;GO:0035091;GO:0005515;GO:0043130;GO:0043130;GO:0061630;GO:0061630;GO:0061630;GO:0004842;GO:0004842;GO:0004842	phosphatidylinositol binding;phosphatidylinositol binding;protein binding;ubiquitin binding;ubiquitin binding;ubiquitin protein ligase activity;ubiquitin protein ligase activity;ubiquitin protein ligase activity;ubiquitin-protein transferase activity;ubiquitin-protein transferase activity;ubiquitin-	GO:0034644;GO:0034644;GO:0120113;GO:0120113;GO:0032511;GO:0032511;GO:0072671;GO:0072671;GO:0007005;GO:0007005;GO:1905533;GO:1905533;GO:1903077;GO:1903077;GO:1905530;GO:1905530;GO:0010796;GO:0010796;GO:0019220;GO:0019220;GO:0016973;GO:0016973;GO:0045807;GO:0045807;GO:0045723;GO:0045723;GO:0032436;GO:	cellular response to UV;cellular response to UV;cytoplasm to vacuole targeting by the NVT pathway;cytoplasm to vacuole targeting by the NVT pathway;late endosome to vacuole transport via multivesicular body sorting pathway;late endosome to vacuole transport via multivesicular body sorting pathway;mi	N/A	N/A	N/A	N/A	N/A	N/A	2.3.2.26 (HECT-type E3 ubiquitin transferase)	N/A
B9J08_005072	B9J08_005072-t37_1	Candida auris strain B8441	PEKT02000010:388,462..388,743(+)	hypothetical protein	10458	Not Assigned	N/A	93	19	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005073	B9J08_005073-t37_1	Candida auris strain B8441	PEKT02000010:388,895..390,181(-)	non-specific serine/threonine protein kinase	49007	Not Assigned	PF00069	428	3004	2	Protein kinase domain	N/A	G3DSA:1.10.510.10	N/A	N/A	PTHR11909	N/A	N/A	N/A	Transferase(Phosphotransferase) domain 1	N/A	N/A	CASEIN KINASE-RELATED	N/A	N/A	N/A	N/A	PS50011	Protein kinase domain profile.	SM00220	serkin_6	SSF56112	Protein kinase-like (PK-like)	-, IPR000719, IPR011009, IPR050235	Transferase(Phosphotransferase) domain 1	GO:0000324;GO:0000324;GO:0000329;GO:0000329;GO:0005634;GO:0005634;GO:0005886;GO:0005886	fungal-type vacuole;fungal-type vacuole;fungal-type vacuole membrane;fungal-type vacuole membrane;nucleus;nucleus;plasma membrane;plasma membrane	GO:0005524;GO:0005524;GO:0005524;GO:0000287;GO:0000287;GO:0004672;GO:0004674;GO:0004674;GO:0004674;GO:0004713;GO:0004713	ATP binding;ATP binding;ATP binding;magnesium ion binding;magnesium ion binding;protein kinase activity;protein serine/threonine kinase activity;protein serine/threonine kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;protein tyrosine kinase activity	GO:0090215;GO:0090215;GO:0006468;GO:0006468;GO:0006468;GO:0016192;GO:0016192	obsolete regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity;obsolete regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity;protein phosphorylation;protein phosphorylation;protein phosphorylation;vesicle-mediated transport;vesicle-mediated transport	N/A	N/A	N/A	N/A	N/A	N/A	2.7.11.1 (non-specific serine/threonine protein kinase)	N/A
B9J08_005074	B9J08_005074-t37_1	Candida auris strain B8441	PEKT02000010:391,917..392,927(+)	MSL3 chromodomain-like | MRG | domain-containing protein	39032	Not Assigned	PF05712, PF22732	336	723	0	MSL3 chromodomain-like	N/A	G3DSA:1.10.274.30, G3DSA:2.30.30.140	N/A	N/A	PTHR10880	N/A	N/A	N/A	MRG domain	N/A	N/A	MORTALITY FACTOR 4-LIKE PROTEIN	N/A	N/A	PIRSF038133	EAF3_MRG15	PS51640	MRG domain profile.	N/A	N/A	SSF54160	Chromo domain-like	-, IPR008676, IPR016197, IPR026541, IPR038217, IPR053820	MSL3 chromodomain-like	GO:0000123;GO:0000123;GO:0000123;GO:0035267;GO:0035267;GO:0035267;GO:0005634;GO:0005634;GO:0005634;GO:0032221;GO:0032221	histone acetyltransferase complex;histone acetyltransferase complex;histone acetyltransferase complex;NuA4 histone acetyltransferase complex;NuA4 histone acetyltransferase complex;NuA4 histone acetyltransferase complex;nucleus;nucleus;nucleus;Rpd3S complex;Rpd3S complex	N/A	N/A	GO:0006325;GO:0006974;GO:0006974;GO:0006281;GO:0006281;GO:0006281;GO:0071963;GO:0071963;GO:0060195;GO:0060195;GO:0045892;GO:0045892;GO:0016575;GO:0016575;GO:0030174;GO:0030174;GO:0006355;GO:0043487;GO:0043487;GO:0006357;GO:0006357;GO:0006368;GO:0006368	chromatin organization;DNA damage response;DNA damage response;DNA repair;DNA repair;DNA repair;establishment or maintenance of cell polarity regulating cell shape;establishment or maintenance of cell polarity regulating cell shape;negative regulation of antisense RNA transcription;negative regulati	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005075	B9J08_005075-t37_1	Candida auris strain B8441	PEKT02000010:393,070..393,663(-)	respiratory growth induced protein 1	23275	Not Assigned	PF10843	197	41	0	Respiratory growth induced protein 1	N/A	G3DSA:3.40.1000.40	N/A	N/A	N/A	N/A	N/A	N/A	Respiratory growth induced protein 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR022554, IPR038235	Respiratory growth induced protein 1	GO:0071944;GO:0071944	cell periphery;cell periphery	N/A	N/A	GO:0006112;GO:0006112;GO:0006112	energy reserve metabolic process;energy reserve metabolic process;energy reserve metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005076	B9J08_005076-t37_1	Candida auris strain B8441	PEKT02000010:395,690..396,238(+)	mitochondrial import inner membrane translocase subunit TIM22	19300	Not Assigned	PF02466	182	614	0	Tim17/Tim22/Tim23/Pmp24 family	N/A	N/A	N/A	N/A	PTHR14110	N/A	N/A	N/A	N/A	N/A	N/A	MITOCHONDRIAL IMPORT INNER MEMBRANE TRANSLOCASE SUBUNIT TIM22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-, IPR039175	Tim17/Tim22/Tim23/Pmp24 family	GO:0042721;GO:0042721;GO:0042721	TIM22 mitochondrial import inner membrane insertion complex;TIM22 mitochondrial import inner membrane insertion complex;TIM22 mitochondrial import inner membrane insertion complex	GO:0030943;GO:0030943;GO:0030943;GO:0008320;GO:0008320;GO:0008320;GO:0008320	mitochondrion targeting sequence binding;mitochondrion targeting sequence binding;mitochondrion targeting sequence binding;protein transmembrane transporter activity;protein transmembrane transporter activity;protein transmembrane transporter activity;protein transmembrane transporter activity	GO:0045039;GO:0045039;GO:0045039	protein insertion into mitochondrial inner membrane;protein insertion into mitochondrial inner membrane;protein insertion into mitochondrial inner membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_005077	B9J08_005077-t37_1	Candida auris strain B8441	PEKT02000010:397,101..400,010(-)	Chitin synthase N-terminal | Chitin synthase | domain-containing protein	111069	Not Assigned	PF01644, PF08407	969	1155	2	Chitin synthase N-terminal	cd04190	N/A	N/A	N/A	PTHR22914	N/A	N/A	Chitin_synth_C	N/A	N/A	N/A	CHITIN SYNTHASE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF53448	Nucleotide-diphospho-sugar transferases	-, IPR004835, IPR013616, IPR029044	Nucleotide-diphospho-sugar transferases	GO:0071944;GO:0030428;GO:0030428;GO:0030428;GO:0045009;GO:0045009;GO:0001411;GO:0001411;GO:0005886;GO:0005886;GO:0005886	cell periphery;cell septum;cell septum;cell septum;chitosome;chitosome;hyphal tip;hyphal tip;plasma membrane;plasma membrane;plasma membrane	GO:0004100;GO:0004100;GO:0004100;GO:0016758	chitin synthase activity;chitin synthase activity;chitin synthase activity;hexosyltransferase activity	GO:0090529;GO:0090529;GO:0071555;GO:0006031;GO:0048315;GO:0048315;GO:0031505;GO:0031505;GO:0030448;GO:0030448;GO:0034217;GO:0034217;GO:0006038;GO:0000920;GO:0000920	cell septum assembly;cell septum assembly;cell wall organization;chitin biosynthetic process;conidium formation;conidium formation;fungal-type cell wall organization;fungal-type cell wall organization;hyphal growth;hyphal growth;obsolete ascospore wall chitin biosynthetic process;obsolete ascospore 	N/A	N/A	N/A	N/A	N/A	N/A	2.4.1.16 (chitin synthase)	N/A
